Username,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,score_12_12,rank_12_12
Blockbuster guy,Dune: Part Two, Inside Out 2, Eden, Here, Megalopolis," ""The Lord of the Rings: The War of the Rohirrim
""", Wicked, Civil War,867.0,9915.0
I ordered my hot sauce an hour ago,The Bikeriders, The Substance, Joker: Folie a Deux, Dune: Part Two, Venom: The Last Dance, I Saw the TV Glow, Sonic the Hedgehog 3, Blink Twice,752.0,11380.0
Coco Vega,Anora, Conclave, Will & Harper, The Wild Robot, The Room Next Door, We Live in Time, The Piano Lesson, Bird,907.0,9312.0
jland,The Substance, Gladiator II, The Wild Robot, Saturday Night, Small Things Like These, Didi, Will & Harper, A Complete Unknown,870.0,9871.0
Freerangebiscuits,Moana 2, The Life of Chuck," ""The Lord of the Rings: The War of the Rohirrim
""", The Wild Robot, We Live in Time, Blitz, The Apprentice, Queer,689.0,12054.0
Erlend,Gladiator II, The Wild Robot, Juror #2, Nosferatu, My Old Ass, A Complete Unknown, Furiosa: A Mad Max Saga, The Substance,885.0,9647.0
youcanthandletheleague42,Gladiator II, Saturday Night, A Complete Unknown, Sing Sing, Transformers One, Super/Man: The Christopher Reeve Story, The Outrun, I'm Still Here,810.0,10677.0
benegesseritbabexoxo,Kneecap, One Life, The Substance, The Brutalist, Gladiator II, Nosferatu, Didi, Mufasa: The Lion King,955.0,8595.0
Megaflopalis,Blitz, Anora, Emilia Perez, The Best Christmas Pageant Ever, Saturday Night, Juror #2, The Outrun, Challengers,902.0,9390.0
ptb,Mufasa: The Lion King, Blitz, A Real Pain, Emilia Perez, Venom: The Last Dance, Here, Kneecap, The Fire Inside,782.0,11034.0
JS1334,Blitz, The Last Showgirl, Emilia Perez, Small Things Like These, The Room Next Door, Conclave, Babygirl, A Real Pain,927.0,8987.0
LakeJebo,Anora, Nosferatu, The Brutalist, Kneecap, Memoir of a Snail, Dune: Part Two, Babygirl, Piece by Piece,972.0,8354.0
ebryner,Nosferatu, Didi, Alien: Romulus, Blitz, Anora, The Brutalist, Saturday Night, September 5,922.0,9076.0
Yulia,Babygirl, Emilia Perez, A Different Man, Here, Hard Truths, The Room Next Door, Blitz, The Brutalist,892.0,9548.0
Kurt,Mufasa: The Lion King, Anora, A Complete Unknown, The Brutalist, Nosferatu, We Live in Time, Juror #2, Exhibiting Forgiveness,952.0,8637.0
Mikebitch,Queer, Gladiator II, Conclave, Babygirl, Hard Truths, Piece by Piece, The Black Box Diaries, Trap,864.0,9960.0
hotboyz,Mufasa: The Lion King, Anora, Joker: Folie a Deux, Nosferatu, Red One, Kraven the Hunter, The Life of Chuck, A Complete Unknown,816.0,10589.0
Logladyland,Anora, Joker: Folie a Deux, The Brutalist, Flow, Mufasa: The Lion King, Sonic the Hedgehog 3, Juror #2, Relay,891.0,9564.0
The Nice Guys or Scooby Doo The Mystery Begins,The Room Next Door, I Saw the TV Glow, The Substance, Gladiator II, Queer, His Three Daughters, We Live in Time, Sonic the Hedgehog 3,814.0,10626.0
Alina,His Three Daughters, Nickel Boys, The Room Next Door, Conclave, Maria, Queer, A Real Pain, Megalopolis,896.0,9488.0
Megaflopolopogis,Bird, Megalopolis, Beetlejuice Beetlejuice, The Fall Guy, Challengers, Venom: The Last Dance, Gladiator II, Horizon: An American Saga — Chapter 1,679.0,12163.0
BookBetterThantheMovie,The Wild Robot, Will & Harper, Blitz, A Real Pain, The Room Next Door, Sing Sing, A Complete Unknown, All We Imagine As Light,826.0,10462.0
CoolSpaceCadet,Better Man, We Live in Time, Janet Planet, Here, Moana 2, Mufasa: The Lion King, Queer, The Piano Lesson,697.0,11969.0
crristin,Challengers, Saturday Night, We Live in Time, Anora, Blitz, My Old Ass, Queer, I Saw the TV Glow,831.0,10402.0
CathyXCX,Gladiator II, Anora, The Wild Robot, We Live in Time, Y2K, National Anthem, The Fall Guy, A Quiet Place - Day 1,829.0,10424.0
Josh Oconnors Thighs,Gladiator II, Emilia Perez, Babygirl, The Room Next Door, Piece by Piece, Flow, Hard Truths, Daughters,834.0,10365.0
lalaland,Dune: Part Two, Babygirl, Emilia Perez, Sonic the Hedgehog 3, Venom: The Last Dance, Heretic, I'm Still Here, The Life of Chuck,801.0,10787.0
el ricky,Anora, Emilia Perez, Nosferatu, Inside Out 2, Hard Truths, The End, The Room Next Door, Heretic,925.0,9018.0
Llewelyn J,Wallace & Gromit: Vengeance Most Fowl, The Life of Chuck, Anora, Nosferatu, The Brutalist, The Apprentice, We Live in Time, Queer,916.0,9165.0
DD D,His Three Daughters, Thelma, Gladiator II, Joker: Folie a Deux, The Last Showgirl, Queer, Challengers, Transformers One,733.0,11602.0
Sfflann,Dune: Part Two, All We Imagine As Light, Conclave, The Brutalist, The Wild Robot, Will & Harper, The Seed of the Sacred Fig, Evil Does Not Exist,980.0,8214.0
Yaboy,The Brutalist, Here, Conclave, Dune: Part Two, Saturday Night, Piece by Piece, The Seed of the Sacred Fig, The Substance,1045.0,7238.0
Mark Wahlbergs Women ARE Talking,Anora, Blitz, The Wild Robot, His Three Daughters, Lee, Babygirl, Maria, The Substance,890.0,9578.0
Live from New York,Emilia Perez, Conclave, Blitz, A Real Pain, September 5, Saturday Night, His Three Daughters, The Life of Chuck,950.0,8663.0
jfeit38,Anora, Saturday Night, The Apprentice, Dune: Part Two, The Wild Robot, The Substance, Furiosa: A Mad Max Saga, Super/Man: The Christopher Reeve Story,961.0,8516.0
Mazen,Furiosa: A Mad Max Saga, Dune: Part Two, A Quiet Place - Day 1, Challengers, Sonic the Hedgehog 3, Moana 2, Deadpool & Wolverine, One Life,741.0,11499.0
JBiker,Dune: Part Two, Wicked, Blitz, Eden, Nightbitch, Hit Man, Argylle, The Killer's Game,875.0,9788.0
geekxyu,The Wild Robot, Wolfs, Sing Sing, Conclave, A Complete Unknown," ""The Lord of the Rings: The War of the Rohirrim
""", The Piano Lesson, His Three Daughters,880.0,9715.0
ro1014,Dune: Part Two, Wicked, Beetlejuice Beetlejuice, Hit Man, The Fall Guy, Twisters, It Ends With Us, Wolfs,875.0,9788.0
Phishman24,Megalopolis, Dune: Part Two, The Fall Guy, Longlegs, Nosferatu, Kinds of Kindness, Furiosa: A Mad Max Saga, Wicked,890.0,9578.0
01ghostrider,Sonic the Hedgehog 3, Beetlejuice Beetlejuice, Deadpool & Wolverine, Uglies, Wicked, A Quiet Place - Day 1, Dune: Part Two, Twisters,875.0,9788.0
SpGamerLive,Alien: Romulus, Moana 2, Challengers, Dune: Part Two, Longlegs, Furiosa: A Mad Max Saga, Sonic the Hedgehog 3, Kneecap,726.0,11668.0
The Gentleist,Dune: Part Two, Conclave, The Brutalist, A Real Pain, Saturday Night, Juror #2, Will & Harper, Tuesday,1000.0,7923.0
Pita Brad,Didi, Challengers, Here, Nosferatu, I Saw the TV Glow, Anora, Dune: Part Two, Madame Web,875.0,9788.0
LukasShayo,Dune: Part Two, Young Woman and the Sea, Twisters, Challengers, Furiosa: A Mad Max Saga, IF, A Quiet Place - Day 1, Moana 2,736.0,11562.0
Rat Dandy,The Brutalist, Memoir of a Snail, A Complete Unknown, The Piano Lesson, Queer, The Wild Robot, Emilia Perez, Emmanuelle,935.0,8873.0
Lora,Argylle, Wicked, Inside Out 2, The Wild Robot, Sonic the Hedgehog 3, Twisters, Monkey Man, Transformers One,820.0,10531.0
Laura2,Argylle, Wicked, Inside Out 2, The Wild Robot, Sonic the Hedgehog 3, Twisters, Monkey Man, Transformers One,820.0,10531.0
ConcessionsJared,Nickel Boys, Emilia Perez, Blitz, Conclave, The Piano Lesson, Without Blood, All We Imagine As Light, The Promised Land,940.0,8799.0
Becka Mc,Conclave, Civil War, His Three Daughters, Queer, Emilia Perez, The Substance, The Life of Chuck, Babygirl,980.0,8214.0
gru from the minion movie,Joker: Folie a Deux, Furiosa: A Mad Max Saga, Nightbitch, Gladiator II, The Bikeriders, Universal Language, Challengers, The Substance,803.0,10766.0
Cyk Yourself,The Wild Robot, Gladiator II, Juror #2, A Real Pain, Deadpool & Wolverine, Beetlejuice Beetlejuice, Heretic, September 5,813.0,10642.0
Allison Greenwood,Dune: Part Two, Blitz, Wicked, We Live in Time, The Outrun, The Life of Chuck, Nosferatu, Woman of the Hour,890.0,9578.0
Clare4999,Joker: Folie a Deux, Lee, Will & Harper, Conclave, Bird, The Brutalist, His Three Daughters, Hard Truths,885.0,9647.0
phawkesy,I Saw the TV Glow, The Room Next Door, Hard Truths, Sing Sing, Dune: Part Two, The Substance, Babygirl, Universal Language,890.0,9578.0
colereynolds2020,Dune: Part Two, Inside Out 2, Challengers, Venom: The Last Dance, Nosferatu, The Room Next Door, The Substance, Didi,819.0,10545.0
ElmsPlusPlus,Dune: Part Two, Emilia Perez, I Saw the TV Glow, Kneecap," ""The Lord of the Rings: The War of the Rohirrim
""", Piece by Piece, Challengers, The Brutalist,949.0,8677.0
ThatsSoAdamV,Flow, Dune: Part Two, Conclave, The Brutalist, Babygirl, Hard Truths, Saturday Night, Argylle,984.0,8147.0
Phil of Phils Tire Town,Blitz, Conclave, A Complete Unknown, The Brutalist, Babygirl, Nosferatu, Saturday Night, Flow,959.0,8541.0
Narajancore,Joker: Folie a Deux, Nosferatu, Anora, Emilia Perez," ""The Lord of the Rings: The War of the Rohirrim
""", The Room Next Door, The Apprentice, Joy,870.0,9871.0
Shana,The Fall Guy, Gladiator II, Joker: Folie a Deux, The End, Deadpool & Wolverine, Eden, Juror #2, Venom: The Last Dance,642.0,12528.0
dvinton,Sing Sing, Conclave, Joker: Folie a Deux, Small Things Like These, Emilia Perez, Deadpool & Wolverine, The Promised Land, Omni Loop,909.0,9280.0
lot,Wicked, Sonic the Hedgehog 3, Queer, Mufasa: The Lion King, Megalopolis, Piece by Piece, Inside Out 2, Nosferatu,864.0,9960.0
kenzvanunu,Emilia Perez, The Brutalist, Babygirl, Nosferatu, The Wild Robot, Saturday Night, The Outrun, Smile 2,893.0,9529.0
freeguac,Nickel Boys, Anora, Dune: Part Two, I Saw the TV Glow, Speak No Evil, Furiosa: A Mad Max Saga, Deadpool & Wolverine, Civil War,898.0,9453.0
DoubleNoSeven,Anora, The Last Showgirl, Dune: Part Two, The Life of Chuck, We Live in Time, A Real Pain, The Wild Robot, Super/Man: The Christopher Reeve Story,898.0,9453.0
Ryanconnor7,Gladiator II, Emilia Perez, Conclave, The Outrun, Will & Harper, The Life of Chuck, I Am Celine Dion, A Family Affair,916.0,9165.0
Wildcard,Gladiator II, Joker: Folie a Deux, Sonic the Hedgehog 3, Juror #2, The Apprentice, Babygirl, Red One," ""The Lord of the Rings: The War of the Rohirrim
""",677.0,12177.0
Unache,Joker: Folie a Deux, Beetlejuice Beetlejuice, Ghostbusters: Frozen Empire, The Life of Chuck, My Dead Friend Zoe, Mufasa: The Lion King, Moana 2, Babygirl,659.0,12377.0
greenmooks,Blitz, Alien: Romulus, Anora, Sing Sing, Nightbitch, Civil War, Challengers, Furiosa: A Mad Max Saga,833.0,10381.0
Iris Celi Grassilli,Dune: Part Two, The Wild Robot, Anora, Kneecap, The Brutalist, Thelma, Evil Does Not Exist, Monkey Man,958.0,8558.0
Allyson,Emilia Perez, The Wild Robot, The Brutalist, A Complete Unknown, Saturday Night, September 5, The Room Next Door, Piece by Piece,943.0,8756.0
SCM99,Anora, Blitz, Queer, The Wild Robot, Babygirl, The Substance, Furiosa: A Mad Max Saga, The Seed of the Sacred Fig,908.0,9296.0
Hexen,Longlegs, Queer," ""The Lord of the Rings: The War of the Rohirrim
""", Babygirl, Anora, Inside Out 2, The Brutalist, Nosferatu,913.0,9216.0
DKBUTTONS,Joker: Folie a Deux, Queer, Bird, Nightbitch, The Life of Chuck, Without Blood, Moana 2, Eden,644.0,12506.0
Connieclave and Carla,The Outrun, Maria, Gladiator II, Sugarcane, Conclave, Flow, Babygirl, Will & Harper,841.0,10269.0
Dracula,Anora, Conclave, Inside Out 2, The Wild Robot, September 5, Deadpool & Wolverine, Will & Harper, Kingdom of the Planet of the Apes,938.0,8832.0
anklebankle,Anora, Blitz, Challengers, Conclave, Wolfs, The Wild Robot, The Bikeriders, National Anthem,918.0,9140.0
pohearn818,The Brutalist, The Substance, Joker: Folie a Deux, Nosferatu, Mufasa: The Lion King, Nickel Boys, Babygirl, The Life of Chuck,938.0,8832.0
Katherine G,Dune: Part Two, His Three Daughters, Anora, The Wild Robot, Thelma, Deadpool & Wolverine, The Substance, Will & Harper,953.0,8622.0
Henry S,Anora, Conclave, Maria, Queer, The Piano Lesson, Furiosa: A Mad Max Saga, Kingdom of the Planet of the Apes, Will & Harper,918.0,9140.0
pdk26,Joker: Folie a Deux, Saturday Night, A Real Pain, Gladiator II, The Apprentice, Wallace & Gromit: Vengeance Most Fowl, The Life of Chuck, We Live in Time,746.0,11453.0
da boy heron,Emilia Perez, Inside Out 2, The Wild Robot, Saturday Night, Furiosa: A Mad Max Saga, Flow, Anora, Evil Does Not Exist,912.0,9235.0
ElizabethTinkerTaylorSoldierSpy,Thelma, The Substance, Gladiator II, Nickel Boys, Inside Out 2, Alien: Romulus, The Room Next Door, Deadpool & Wolverine,845.0,10217.0
ARealPainInTheAss,Dune: Part Two, Anora, A Real Pain, Challengers, Nosferatu, The Outrun, Lee, Oh Canada,912.0,9235.0
jacobsjj,Venom: The Last Dance, The Room Next Door, His Three Daughters, The Brutalist, Joker: Folie a Deux, Mufasa: The Lion King, Sonic the Hedgehog 3, Will & Harper,727.0,11660.0
RayBeanz,Dune: Part Two, Challengers, Anora, The Piano Lesson, Saturday Night, A Different Man, Furiosa: A Mad Max Saga, Monkey Man,877.0,9756.0
A Different Herdman,A Different Man, Anora, Sugarcane, Nickel Boys, Nosferatu, Nutcrackers, The Seed of the Sacred Fig, The Best Christmas Pageant Ever,857.0,10060.0
Magnus,Joker: Folie a Deux, Mufasa: The Lion King, Sonic the Hedgehog 3," ""The Lord of the Rings: The War of the Rohirrim
""", Y2K, The Apprentice, Moana 2, Saturday Night,664.0,12344.0
John,Moana 2, Joker: Folie a Deux, Mufasa: The Lion King, Saturday Night, The Piano Lesson, The American Society of Magical Negroes, Godzilla x Kong: The New Empire, Deadpool & Wolverine,668.0,12296.0
I Am The Nightbitch,Gladiator II, Emilia Perez, Conclave, Nightbitch, Drive-Away Dolls, The American Society of Magical Negroes, Omni Loop, Poolman,910.0,9265.0
Andrea Carla Michaels,The Wild Robot, Sing Sing, Anora, Didi, Beetlejuice Beetlejuice, Transformers One, Saturday Night, Juror #2,857.0,10060.0
Barbie Part Deux,Anora, Daughters, Blitz, Conclave, The Wild Robot, The Best Christmas Pageant Ever, Juror #2, September 5,922.0,9076.0
TyTheOracleBudde,Anora, Conclave, The Wild Robot, September 5, Saturday Night, The Room Next Door, Better Man, The End,932.0,8911.0
Makes Me Want a Churro Real Bad,Anora, The Brutalist, Nosferatu, The Last Showgirl, Dune: Part Two, Piece by Piece, The Room Next Door, Memoir of a Snail,967.0,8433.0
Get Off My Plane,Blitz, Moana 2, Nightbitch, Eden, Juror #2, A Complete Unknown, Bird, Lee,683.0,12123.0
Abigails Fall Guy,Gladiator II, Conclave, Emilia Perez, The Room Next Door, Fancy Dance, Super/Man: The Christopher Reeve Story, The Black Box Diaries, The Promised Land,920.0,9107.0
RancoredBoa,Will & Harper, The Substance, Inside Out 2, The Wild Robot, Didi, Gladiator II, His Three Daughters, My Old Ass,840.0,10287.0
johnmtlnd,Wicked, Nosferatu, Kinds of Kindness, I Am Celine Dion, Here, Queer, The Bikeriders, MaXXXine,827.0,10451.0
FiscalWinter,A Complete Unknown, Gladiator II, Eden, The Apprentice, Y2K, His Three Daughters, Challengers, Queer,776.0,11101.0
hols1234,Babygirl, Moana 2, Beetlejuice Beetlejuice, Inside Out 2, A Family Affair, My Old Ass, Mufasa: The Lion King, Here,688.0,12069.0
sammyjean,Gladiator II, Emilia Perez, Saturday Night, Babygirl, The Killer's Game, The Promised Land, Challengers, Furiosa: A Mad Max Saga,834.0,10365.0
Blood Drips Heavily on Newsies Square,Anora, The Room Next Door, Emilia Perez, Maria, Nosferatu, The Last Showgirl, The Apprentice, Will & Harper,902.0,9390.0
Martin and Jordan,Emilia Perez, Sing Sing, The Room Next Door, Conclave, The Piano Lesson, Saturday Night, Lee, The Promised Land,931.0,8926.0
Italian Neorealism,Anora, Sonic the Hedgehog 3, Mufasa: The Lion King, Bird, Nosferatu, Venom: The Last Dance, Saturday Night, The Piano Lesson,771.0,11166.0
steele98,The Brutalist, The Piano Lesson, Conclave, Dune: Part Two, The Room Next Door, The Outrun, Shirley, The Substance,1031.0,7451.0
Mike Wazowski was in Challengers,Challengers, The Substance, The Apprentice, Dune: Part Two, Anora, Memoir of a Snail, The Life of Chuck, Sonic the Hedgehog 3,947.0,8701.0
Monicatz Haderach,Conclave, The Piano Lesson, Saturday Night, Between the Temples, The Wild Robot, Sugarcane, Gladiator II, Super/Man: The Christopher Reeve Story,846.0,10200.0
jimmytwohands,Transformers One, Dune: Part Two, The Brutalist, The Wild Robot, A Real Pain, A Complete Unknown, I'm Still Here, Furiosa: A Mad Max Saga,931.0,8926.0
Mommy Dearest,Gladiator II, A Complete Unknown, Kingdom of the Planet of the Apes, Sonic the Hedgehog 3, We Live in Time, The Brutalist, Civil War, The Last Showgirl,849.0,10167.0
Jensversion,Gladiator II, Blitz, The Brutalist, Nosferatu, A Different Man, Saturday Night, The Last Showgirl, My Dead Friend Zoe,854.0,10101.0
Ben W,Gladiator II, Alien: Romulus, A Complete Unknown, Beetlejuice Beetlejuice, Saturday Night, Challengers, A Different Man, Nosferatu,784.0,11008.0
M Night Shyamalan for Best Director,Dune: Part Two, Joker: Folie a Deux, The Brutalist, The Piano Lesson," ""The Lord of the Rings: The War of the Rohirrim
""", The Seed of the Sacred Fig, Smile 2, A Different Man,811.0,10662.0
FloraPoste,A Different Man, Dune: Part Two, Conclave, The Wild Robot, A Real Pain, His Three Daughters, Will & Harper, Juror #2,911.0,9248.0
Dirty Harry,Dune: Part Two, Anora, Sonic the Hedgehog 3, My Old Ass, A Complete Unknown, Smile 2, Between the Temples, The Beast,863.0,9976.0
Noelle,The Brutalist, Nightbitch, The Apprentice, Emilia Perez, The Room Next Door, Queer, The Piano Lesson, Heretic,896.0,9488.0
Darby Michelle,Gladiator II, Sing Sing, Queer, Lee, I Saw the TV Glow, Your Monster, The Outrun, Woman of the Hour,768.0,11205.0
kamel508,Moana 2, Joker: Folie a Deux, Mufasa: The Lion King, Sonic the Hedgehog 3, We Live in Time, The Apprentice," ""The Lord of the Rings: The War of the Rohirrim
""", The Life of Chuck,652.0,12434.0
Wickarama186,Gladiator II, Frida, Universal Language, Joker: Folie a Deux, Blitz, The Life of Chuck, Venom: The Last Dance, The Outrun,638.0,12560.0
ahjay,Dune: Part Two, His Three Daughters, Civil War, My Old Ass, Juror #2, Kinds of Kindness, Sonic the Hedgehog 3, Moana 2,721.0,11716.0
Jacob,Lee, Inside Out 2, Didi, The Room Next Door, Gladiator II, My Old Ass, The Brutalist, The Outrun,828.0,10437.0
MPaloms,Megalopolis, The Fall Guy," ""The Lord of the Rings: The War of the Rohirrim
""", Red One, The Substance, Smile 2, Twisters, Gladiator II,758.0,11325.0
Odete,Evil Does Not Exist, Frida, Dune: Part Two, The Outrun, A Real Pain, His Three Daughters, Anora, The Wild Robot,890.0,9578.0
Smoozy,Emilia Perez, Blitz, Conclave, The Room Next Door, I Am Celine Dion, The Brutalist, Will & Harper, His Three Daughters,980.0,8214.0
KH2,Dune: Part Two, Emilia Perez, The Brutalist, The Room Next Door, The Substance, Super/Man: The Christopher Reeve Story, Juror #2, His Three Daughters,1015.0,7681.0
Karnagex,Dune: Part Two, Flow, Furiosa: A Mad Max Saga," ""The Lord of the Rings: The War of the Rohirrim
""", Relay, Moana 2, Queer, Deadpool & Wolverine,746.0,11453.0
Lollapalooser,Nosferatu, I'm Still Here, Emilia Perez, Gladiator II, Saturday Night, Madame Web, We Live in Time, The Substance,923.0,9057.0
21st Century Flangetown,Dune: Part Two, The Piano Lesson, Lee, Saturday Night, Evil Does Not Exist, The Brutalist, The Life of Chuck, Anora,944.0,8739.0
Sav,Here, Heretic, The Seed of the Sacred Fig, I Saw the TV Glow, The Wild Robot, Dune: Part Two, Challengers, The Brutalist,879.0,9728.0
ComShep7NN7,The Brutalist, Sing Sing, Saturday Night, Queer, Blitz, A Different Man, Babygirl, Alien: Romulus,839.0,10303.0
penichillin,Sing Sing, The Wild Robot, A Real Pain, Thelma, Challengers, We Live in Time, Saturday Night, Didi,804.0,10753.0
Kerrison,A Complete Unknown, The Piano Lesson, Blitz, Saturday Night, Conclave, The Life of Chuck, Hard Truths, The Brutalist,939.0,8813.0
I Saw The Tevin Glow,Gladiator II, Sing Sing, Sonic the Hedgehog 3, Heretic, Daughters, The Life of Chuck, Challengers, Janet Planet,792.0,10889.0
KBennett,Joker: Folie a Deux, Red One, Sonic the Hedgehog 3, Venom: The Last Dance, Mufasa: The Lion King, Heretic, Inside Out 2, The Wild Robot,639.0,12553.0
Mikey17Madison,Nosferatu, Gladiator II, The Black Box Diaries, Frida, Anora, We Live in Time, The Life of Chuck, The Wild Robot,852.0,10125.0
Conor Leo,Wallace & Gromit: Vengeance Most Fowl, Gladiator II, Super/Man: The Christopher Reeve Story, Kneecap, Saturday Night, Beetlejuice Beetlejuice, Anora, The Room Next Door,832.0,10393.0
JoshD,Dune: Part Two, Here, Babygirl, Heretic, Better Man, Smile 2, Anora, We Live in Time,834.0,10365.0
Andrew Simpson,Gladiator II, The End, Here, The Brutalist, Bird, Eden, Will & Harper, Red One,787.0,10960.0
Cappelle,Joker: Folie a Deux, Challengers, Venom: The Last Dance, Furiosa: A Mad Max Saga, Dune: Part Two, Juror #2, Nightbitch, Heretic,699.0,11945.0
Paul Nadeau,Anora, Maria, Babygirl, Conclave, Nightbitch, Nosferatu, The Room Next Door, Small Things Like These,904.0,9357.0
omw to the cluUuUb,Babygirl, My Dead Friend Zoe, Kneecap, Saturday Night, Blitz, Conclave, Emilia Perez, The Brutalist,989.0,8072.0
Superbill72,Anora, Challengers, Nosferatu, Dune: Part Two, Hit Man, Kraven the Hunter, Alien: Romulus, A Real Pain,899.0,9433.0
Buckachu,Emilia Perez, Sing Sing, The Piano Lesson, We Live in Time, The Wild Robot, Deadpool & Wolverine, The Substance, Furiosa: A Mad Max Saga,924.0,9035.0
Kdiaman,Dune: Part Two, Wicked, Mufasa: The Lion King, Deadpool & Wolverine, Kingdom of the Planet of the Apes, Piece by Piece, Kinds of Kindness, The Fall Guy,894.0,9515.0
Rolf,The Piano Lesson, Nickel Boys, Kinds of Kindness, Anora, Inside Out 2, Challengers, Bird, Civil War,843.0,10250.0
emmapickswinners,Gladiator II, Conclave, Thelma, Babygirl, Saturday Night, Heretic, Kneecap, Sonic the Hedgehog 3,846.0,10200.0
paul111,Anora, The Room Next Door, Babygirl, Emilia Perez, The Beast, The Piano Lesson, Maria, Problemista,868.0,9899.0
hmkhan,The Life of Chuck, Anora, Nosferatu, Sonic the Hedgehog 3, Inside Out 2, A Complete Unknown, Juror #2, Conclave,933.0,8895.0
Lily,Sing Sing, Queer, Didi, Saturday Night, Challengers, We Live in Time, The Brutalist, Bird,863.0,9976.0
Team Lorri,Deadpool & Wolverine, Joker: Folie a Deux, Babygirl, Nightbitch, His Three Daughters, IF, Sing Sing, Conclave,813.0,10642.0
Nic Ragin Cajun,Conclave, Saturday Night, Venom: The Last Dance, Sonic the Hedgehog 3, The Room Next Door, September 5, The Piano Lesson, The Last Showgirl,758.0,11325.0
Adrock85,Gladiator II, Here, Conclave, Nightbitch, Saturday Night, I Saw the TV Glow, Daughters, The Life of Chuck,816.0,10589.0
moviesarelifeV2,Gladiator II, Conclave, Small Things Like These, Brothers, Memoir of a Snail, Juror #2, Exhibiting Forgiveness, Emilia Perez,911.0,9248.0
GFizl,Joker: Folie a Deux, The Wild Robot, Beetlejuice Beetlejuice, Venom: The Last Dance, Nightbitch, Mufasa: The Lion King, A Real Pain, Will & Harper,683.0,12123.0
diov44443,Dune: Part Two, Anora, Furiosa: A Mad Max Saga, Nosferatu, A Complete Unknown, The Seed of the Sacred Fig, A Different Man, Super/Man: The Christopher Reeve Story,903.0,9374.0
totemo,Joker: Folie a Deux, Sonic the Hedgehog 3, Venom: The Last Dance, Nosferatu, Mufasa: The Lion King," ""The Lord of the Rings: The War of the Rohirrim
""", A Real Pain, A Complete Unknown,708.0,11856.0
SamRein,Anora, Conclave, Juror #2, The Life of Chuck, Woman of the Hour, Challengers, Dune: Part Two, Mothers' Instinct,958.0,8558.0
Nat JS,His Three Daughters, Megalopolis, Anora, Sing Sing, Didi, Thelma, Blitz, Will & Harper,833.0,10381.0
Tophers Turn,Dune: Part Two, Anora, Mufasa: The Lion King, A Different Man, Thelma, His Three Daughters, Daughters, All We Imagine As Light,873.0,9826.0
ThatMan,Lee, Joker: Folie a Deux, Mufasa: The Lion King, Here, Nosferatu, Smile 2, Anora, Challengers,788.0,10946.0
Lose the Glasses,Gladiator II, Blitz, Wallace & Gromit: Vengeance Most Fowl, Venom: The Last Dance, The Room Next Door, Saturday Night, The Apprentice, Six Triple Eight,672.0,12249.0
It Ends With Ugh,Mufasa: The Lion King, Emilia Perez, A Complete Unknown, The Room Next Door, Conclave, The Seed of the Sacred Fig, Sugarcane, Smile 2,913.0,9216.0
Nightbitch Hunter,Emilia Perez, Anora, Challengers, The Seed of the Sacred Fig, Maria, Sonic the Hedgehog 3, The Room Next Door, The Life of Chuck,888.0,9608.0
Draft x8,Conclave, Challengers, Juror #2, Gladiator II, Will & Harper, The Piano Lesson, Kraven the Hunter, The Outrun,836.0,10338.0
skmdc,Joker: Folie a Deux, The Room Next Door, Emilia Perez, Saturday Night, A Real Pain, Blitz, I'm Still Here, Red One,783.0,11021.0
Liam Connors,The Wild Robot, Nosferatu, Challengers, The Life of Chuck, Anora, Blitz, Saturday Night, A Real Pain,873.0,9826.0
His Three Babygirls,Dune: Part Two, Anora, Will & Harper, Didi, Challengers, Babygirl, His Three Daughters, The Life of Chuck,863.0,9976.0
Theoutrunner,Conclave, Anora, Emilia Perez, The Friend, Blitz, Elton John: Never Too Late, Relay, Emmanuelle,973.0,8338.0
Opaque Couche448c,Dune: Part Two, Queer, Anora, Challengers, Civil War, Kinds of Kindness, The Substance, Alien: Romulus,938.0,8832.0
jonahwaterhouse,Dune: Part Two, Anora, Queer, The Substance, Kinds of Kindness, Civil War, Challengers, Alien: Romulus,938.0,8832.0
Steeveeee1234,Dune: Part Two, Anora, Saturday Night, Challengers, The Substance, Furiosa: A Mad Max Saga, Will & Harper, Kinds of Kindness,957.0,8570.0
TrevorB,The Room Next Door, His Three Daughters, Sing Sing, Beetlejuice Beetlejuice, Gladiator II, Challengers, AfrAId, The Killer's Game,775.0,11118.0
doubleabid,A Complete Unknown, Queer, Eden, Smile 2, Heretic, Gladiator II, Wallace & Gromit: Vengeance Most Fowl, The Seed of the Sacred Fig,760.0,11300.0
Toothied,Dune: Part Two, Mufasa: The Lion King, Joker: Folie a Deux, The Substance, Venom: The Last Dance, Smile 2, Y2K, Longlegs,752.0,11380.0
CBR26,Gladiator II, Sing Sing, Queer, I Saw the TV Glow, The Room Next Door, On Becoming a Guinea Fowl, Evil Does Not Exist, The Beast,765.0,11235.0
ConstantUnk,Nickel Boys, Anora, Blitz, Nosferatu, Saturday Night, The Room Next Door, Red One, Juror #2,837.0,10325.0
trevmo,Gladiator II, Sing Sing, Challengers, Didi, The Beast, Alien: Romulus, Kinds of Kindness, Nosferatu,780.0,11061.0
halekitty,Gladiator II, Conclave, September 5, Babygirl, The Room Next Door, The Seed of the Sacred Fig, Will & Harper, The Life of Chuck,845.0,10217.0
